iteration,time_s,fps,collect_s,update_s,reward_per_step,value_loss,surrogate,entropy,kl,lr,std,symmetry,ep_tracking_lin_vel,ep_tracking_ang_vel,ep_lin_vel_z,ep_ang_vel_xy,ep_orientation,ep_base_height,ep_torques,ep_torque_limits,ep_dof_vel,ep_dof_acc,ep_action_rate,ep_dof_pos_limits,ep_alive,ep_hip_pos,ep_contact,ep_feet_swing_height,ep_contact_no_vel,ep_stand_still,ep_termination,ep_length_s,unstable_resets
4053,236.1,6185,3.44,0.54,0.02178,0.04867,-0.0091,5.49819,0.01445,3e-05,0.42729,0.0,0.63037,0.2446,-0.01643,-0.0186,-0.00632,-0.00139,-0.03103,-0.00367,-0.02671,-0.02131,-0.05442,-0.00115,0.10981,-0.01449,0.23213,-0.01311,-0.01187,-0.04311,-0.02667,14.64089,0
4054,240.4,5712,3.95,0.36,0.02319,0.02911,-0.00884,5.50915,0.01313,0.00011,0.42769,0.0,0.5219,0.20766,-0.01928,-0.01628,-0.00757,-0.0027,-0.02835,-0.00419,-0.02598,-0.01886,-0.04746,-0.00467,0.09492,-0.01594,0.19962,-0.01034,-0.01434,-0.0465,-0.07292,12.65563,0
4055,244.7,5693,3.83,0.49,0.02499,0.00976,-0.00839,5.52098,0.01437,0.00017,0.42799,0.0,0.46954,0.18396,-0.01786,-0.01443,-0.0062,-0.00217,-0.02553,-0.00375,-0.02308,-0.0173,-0.04272,-0.00497,0.08546,-0.01368,0.17727,-0.00982,-0.01307,-0.03747,-0.05208,11.39458,0
4056,249.2,5531,4.09,0.35,0.02671,0.01102,-0.00503,5.52589,0.01803,2e-05,0.42804,0.0,0.56268,0.21839,-0.01796,-0.01674,-0.00719,-0.00191,-0.02884,-0.00374,-0.02741,-0.02044,-0.05005,-0.00145,0.10099,-0.01523,0.21464,-0.00866,-0.01525,-0.06588,-0.00833,13.465,0
4057,253.7,5452,3.98,0.53,0.02655,0.00964,-0.00415,5.52683,0.00936,0.00011,0.42804,0.0,0.46638,0.18183,-0.0147,-0.01463,-0.00531,-0.00158,-0.02313,-0.00277,-0.01867,-0.01474,-0.04006,-0.00896,0.08133,-0.01206,0.17038,-0.01075,-0.00872,-0.02569,-0.06154,10.84462,0
4058,258.5,5129,4.23,0.57,0.02739,0.00527,-0.00346,5.52447,0.01481,8e-05,0.42779,0.0,0.60963,0.24145,-0.01989,-0.01903,-0.00701,-0.00228,-0.03309,-0.0046,-0.0308,-0.02192,-0.0541,-0.00128,0.10923,-0.01703,0.2321,-0.01312,-0.01445,-0.00429,0.0,14.56444,0
4059,263.1,5340,4.02,0.58,0.02703,0.00761,-0.00514,5.51395,0.01451,0.00017,0.42735,0.0,0.50397,0.19606,-0.01871,-0.01499,-0.00622,-0.00195,-0.02665,-0.00364,-0.02292,-0.01697,-0.0439,-0.00376,0.08836,-0.01265,0.18588,-0.00993,-0.01037,-0.02232,-0.03077,11.78128,0
4060,267.7,5294,4.05,0.59,0.02733,0.00579,-0.00603,5.50142,0.01489,0.00011,0.42699,0.0,0.58368,0.22668,-0.01673,-0.01563,-0.00619,-0.00182,-0.03015,-0.00518,-0.02607,-0.01961,-0.05131,-0.00108,0.10421,-0.0131,0.21884,-0.00986,-0.01538,-0.06098,0.0,13.89417,0
4061,272.2,5443,4.16,0.36,0.02704,0.02656,-0.00776,5.49774,0.01521,5e-05,0.42703,0.0,0.59192,0.2317,-0.02121,-0.01752,-0.00618,-0.00153,-0.03055,-0.00389,-0.02812,-0.02124,-0.0518,-0.00284,0.10452,-0.01444,0.2196,-0.01106,-0.01442,-0.05555,-0.00909,13.93545,0
4062,276.7,5478,4.0,0.49,0.02248,0.16318,-0.00881,5.50698,0.01197,0.00026,0.42755,0.0,0.34594,0.13571,-0.01868,-0.01316,-0.007,-0.00496,-0.02291,-0.00506,-0.0207,-0.01258,-0.03273,-0.01435,0.06448,-0.01346,0.13455,-0.00702,-0.0167,-0.0098,-0.08571,8.59714,0
4063,280.5,6412,3.39,0.45,0.01802,0.06534,-0.00942,5.52939,0.01643,0.00011,0.42809,0.0,0.52417,0.20666,-0.02383,-0.01656,-0.00777,-0.00337,-0.02924,-0.00502,-0.02573,-0.01836,-0.04765,-0.00441,0.09498,-0.01645,0.2003,-0.01089,-0.0144,-0.03026,-0.06875,12.66354,0
4064,284.9,5606,3.83,0.56,0.02039,0.03362,-0.01012,5.54294,0.01314,8e-05,0.42845,0.0,0.59172,0.23306,-0.03003,-0.01817,-0.00851,-0.00292,-0.03092,-0.00447,-0.02703,-0.02028,-0.05239,-0.00452,0.10581,-0.01676,0.22284,-0.01289,-0.01423,-0.04721,-0.07333,14.10867,0
4065,290.1,4745,4.62,0.56,0.02399,0.01641,-0.00829,5.55294,0.0166,1e-05,0.42866,0.0,0.59096,0.23185,-0.02329,-0.01939,-0.00719,-0.00241,-0.03076,-0.0044,-0.0276,-0.0208,-0.05315,-0.00727,0.10589,-0.01723,0.22173,-0.01156,-0.01367,-0.03828,-0.05833,14.11917,0
4066,294.5,5547,3.93,0.5,0.02604,0.0176,-0.00706,5.55613,0.01099,0.00011,0.42876,0.0,0.42354,0.16849,-0.02135,-0.01332,-0.00678,-0.00154,-0.02314,-0.00293,-0.02057,-0.01431,-0.03815,-0.00277,0.07633,-0.01108,0.15891,-0.01093,-0.0094,-0.0265,-0.02857,10.17714,0
4067,299.1,5372,4.18,0.39,0.02588,0.01639,-0.00619,5.56197,0.0152,3e-05,0.42894,0.0,0.53311,0.21163,-0.02612,-0.01728,-0.0079,-0.00275,-0.03075,-0.00505,-0.02802,-0.01987,-0.04912,-0.00637,0.09719,-0.01797,0.20453,-0.01017,-0.01539,-0.03617,-0.06061,12.95909,0
