iteration,time_s,fps,collect_s,update_s,reward_per_step,value_loss,surrogate,entropy,kl,lr,std,ep_tracking_lin_vel,ep_tracking_ang_vel,ep_lin_vel_z,ep_ang_vel_xy,ep_orientation,ep_base_height,ep_torques,ep_torque_limits,ep_dof_vel,ep_dof_acc,ep_action_rate,ep_dof_pos_limits,ep_alive,ep_hip_pos,ep_contact,ep_feet_swing_height,ep_contact_no_vel,ep_stand_still,ep_termination,ep_length_s,unstable_resets
1557,107.9,13823,1.41,0.37,0.03204,0.00047,-0.00677,-0.88351,0.01386,0.00011,0.26832,0.54116,0.25951,-0.01376,-0.01231,-0.01046,-0.00187,-0.0181,-0.00109,-0.01598,-0.00999,-0.01878,-0.00153,0.0975,-0.0124,0.2066,-0.01507,-0.01137,0.0,-0.1,13.0,0
1558,109.8,13461,1.47,0.35,0.03239,0.00049,-0.0064,-0.89665,0.01242,0.00011,0.26803,0.86835,0.40262,-0.02387,-0.02309,-0.01191,-0.00267,-0.02374,-0.00069,-0.0311,-0.01892,-0.02882,-0.00332,0.15,-0.03104,0.32814,-0.02751,-0.0107,0.0,0.0,20.0,0
1559,111.6,13704,1.45,0.35,0.03174,0.00036,-0.00773,-0.91124,0.01386,0.00017,0.26755,0.56419,0.28402,-0.03767,-0.01423,-0.01571,-0.0022,-0.02391,-0.00318,-0.02431,-0.01248,-0.0229,-0.00302,0.10777,-0.01815,0.22788,-0.00961,-0.01663,0.0,-0.1,14.37,0
1560,113.3,13839,1.44,0.34,0.03194,0.00035,-0.00551,-0.93093,0.01306,0.00011,0.26715,0.87116,0.41157,-0.02198,-0.01838,-0.00742,-0.00108,-0.02591,-0.00239,-0.03115,-0.01721,-0.03116,-0.0005,0.15,-0.01733,0.32832,-0.01894,-0.02244,0.0,0.0,20.0,0
1561,115.0,14615,1.34,0.34,0.0324,0.00033,-0.00634,-0.94678,0.0122,8e-05,0.26686,,,,,,,,,,,,,,,,,,,,,0
1562,116.7,14548,1.35,0.34,0.02756,0.21676,-0.00799,-0.95538,0.01408,0.00011,0.26685,,,,,,,,,,,,,,,,,,,,,0
1563,118.4,14498,1.33,0.36,0.02459,0.11476,-0.00951,-0.94806,0.01429,5e-05,0.26703,0.86083,0.37997,-0.02319,-0.02219,-0.00796,-0.00083,-0.02897,-0.00353,-0.03714,-0.01877,-0.03087,-0.00281,0.15,-0.02304,0.32571,-0.01343,-0.02981,0.0,0.0,20.0,0
1564,120.1,14567,1.34,0.35,0.02406,0.02934,-0.00821,-0.93778,0.01399,5e-05,0.26727,0.64447,0.30005,-0.014,-0.01555,-0.0101,-0.00245,-0.01943,-0.00193,-0.01858,-0.01079,-0.02146,-0.00132,0.1109,-0.01672,0.23484,-0.01806,-0.01212,-0.04257,-0.11725,14.78657,0
1565,121.8,14130,1.39,0.35,0.02428,0.01632,-0.00742,-0.92513,0.01684,1e-05,0.2675,0.6565,0.30928,-0.01617,-0.01566,-0.01119,-0.00244,-0.02052,-0.0016,-0.02022,-0.01134,-0.02247,-0.00171,0.11457,-0.01807,0.24284,-0.01757,-0.01327,-0.02441,-0.11288,15.27561,0
1566,123.5,14405,1.33,0.37,0.02825,0.0018,-0.00607,-0.91935,0.01033,8e-05,0.26763,0.60604,0.29467,-0.02181,-0.01539,-0.01284,-0.00289,-0.02049,-0.00205,-0.02048,-0.01119,-0.02178,-0.00228,0.11037,-0.01612,0.23366,-0.01604,-0.01421,-0.02123,-0.13137,14.71627,0
1567,125.3,14093,1.38,0.36,0.03103,0.00066,-0.00611,-0.91765,0.01116,8e-05,0.26756,0.66683,0.31937,-0.02098,-0.01683,-0.01398,-0.00293,-0.02302,-0.00272,-0.02297,-0.0124,-0.02396,-0.00312,0.12114,-0.02176,0.25694,-0.01733,-0.01685,0.0,-0.12222,16.15167,0
1568,127.1,13470,1.49,0.34,0.03214,0.00046,-0.01013,-0.92976,0.01166,0.00017,0.26711,0.75119,0.35526,-0.02729,-0.02053,-0.01463,-0.00293,-0.02375,-0.00157,-0.02435,-0.01331,-0.02529,-0.0031,0.1325,-0.02109,0.28647,-0.0221,-0.01076,0.0,-0.06667,17.66667,0
1569,128.9,13995,1.41,0.34,0.0321,0.0004,-0.00787,-0.95448,0.01455,0.00026,0.26653,0.91336,0.42721,-0.00792,-0.01363,-0.00893,-0.00087,-0.02287,-0.00102,-0.01599,-0.01117,-0.02657,-0.00018,0.15,-0.01397,0.31176,-0.03263,-0.0079,0.0,0.0,20.0,0
1570,130.8,12900,1.55,0.35,0.03197,0.00037,-0.00494,-0.97599,0.01412,0.00017,0.26606,,,,,,,,,,,,,,,,,,,,,0
1571,132.5,14471,1.38,0.31,0.03253,0.00035,-0.008,-0.99986,0.0153,0.00026,0.26532,,,,,,,,,,,,,,,,,,,,,0
1572,134.1,14772,1.34,0.33,0.03187,0.089,-0.0085,-1.01583,0.01716,5e-05,0.26541,,,,,,,,,,,,,,,,,,,,,0
1573,135.8,14760,1.33,0.34,0.02635,0.05061,-0.00928,-1.0053,0.01548,5e-05,0.26563,,,,,,,,,,,,,,,,,,,,,0
1574,137.5,14598,1.34,0.35,0.02875,0.03109,-0.009,-0.99592,0.01585,2e-05,0.26577,0.76388,0.35223,-0.01836,-0.01589,-0.01004,-0.00192,-0.02136,-0.001,-0.01915,-0.01144,-0.02383,-0.00209,0.12675,-0.01923,0.27032,-0.02377,-0.00961,-0.03206,-0.04,16.9,0
1575,139.2,14316,1.36,0.35,0.02776,0.0136,-0.0069,-0.98964,0.01282,8e-05,0.26596,0.75345,0.35288,-0.01686,-0.01726,-0.01207,-0.00261,-0.02274,-0.00155,-0.02175,-0.01248,-0.02503,-0.00166,0.12958,-0.01883,0.27579,-0.02044,-0.01314,-0.01717,-0.11176,17.27765,0
1576,140.9,14065,1.4,0.35,0.02981,0.00566,-0.00636,-0.97703,0.01445,8e-05,0.26621,0.74323,0.34734,-0.01865,-0.01859,-0.01275,-0.0033,-0.02296,-0.00243,-0.02402,-0.01314,-0.02535,-0.00347,0.12946,-0.02128,0.27391,-0.01929,-0.01782,-0.00955,-0.13667,17.262,0
1577,142.7,14085,1.39,0.36,0.03174,0.00089,-0.0071,-0.96888,0.01432,0.00017,0.26617,0.61697,0.29437,-0.01969,-0.01667,-0.01086,-0.00275,-0.02079,-0.00215,-0.02182,-0.0121,-0.0218,-0.0029,0.1116,-0.01918,0.23512,-0.01631,-0.01721,0.0,-0.12,14.88,0
1578,144.5,13591,1.46,0.35,0.03226,0.00096,-0.00456,-0.97184,0.01404,8e-05,0.26609,,,,,,,,,,,,,,,,,,,,,0
1579,146.3,13355,1.46,0.38,0.0321,0.00047,-0.00582,-0.97611,0.01207,5e-05,0.26594,0.87955,0.41787,-0.02059,-0.02097,-0.00786,-0.00211,-0.02258,-0.00052,-0.02817,-0.01814,-0.02736,-0.00442,0.15,-0.0291,0.32868,-0.02608,-0.00982,0.0,0.0,20.0,0
1580,148.2,13006,1.54,0.35,0.03191,0.00039,-0.0062,-0.98855,0.00996,0.00011,0.2655,,,,,,,,,,,,,,,,,,,,,0
1581,149.9,14269,1.38,0.34,0.03249,0.00035,-0.00481,-1.00523,0.01117,8e-05,0.26523,,,,,,,,,,,,,,,,,,,,,0
1582,151.7,13984,1.38,0.38,0.0326,0.00036,-0.00723,-1.0202,0.01337,0.00017,0.26486,,,,,,,,,,,,,,,,,,,,,0
1583,153.4,14363,1.37,0.34,0.02817,0.03164,-0.00743,-1.03231,0.01506,3e-05,0.26485,0.90177,0.41421,-0.01517,-0.01793,-0.00917,-0.00114,-0.02593,-0.0016,-0.02553,-0.01443,-0.02879,-0.00129,0.15,-0.02042,0.32413,-0.02263,-0.0149,-0.03218,0.0,20.0,0
1584,155.2,13525,1.43,0.38,0.02927,0.01428,-0.00737,-1.02672,0.01222,3e-05,0.265,,,,,,,,,,,,,,,,,,,,,0
1585,157.1,13305,1.46,0.39,0.02962,0.00596,-0.00777,-1.01723,0.01363,0.00011,0.26531,0.63554,0.30505,-0.01454,-0.01526,-0.00994,-0.00224,-0.01947,-0.00161,-0.01941,-0.0116,-0.02183,-0.00122,0.11258,-0.0147,0.23951,-0.01782,-0.01278,-0.06938,-0.1,15.01125,0
1586,158.9,13733,1.42,0.37,0.031,0.00211,-0.00283,-1.00645,0.01492,3e-05,0.26544,0.60385,0.28275,-0.01401,-0.01578,-0.00998,-0.00273,-0.01806,-0.00124,-0.01743,-0.00985,-0.01982,-0.00277,0.10453,-0.0182,0.22214,-0.01848,-0.01069,-0.01387,-0.12,13.938,0
1587,160.8,12653,1.55,0.39,0.03198,0.00179,-0.00404,-1.00482,0.01106,8e-05,0.26546,0.7841,0.36463,-0.01771,-0.01828,-0.01175,-0.00191,-0.02442,-0.00188,-0.02628,-0.01332,-0.02609,-0.00199,0.13485,-0.02237,0.29596,-0.01955,-0.01468,-0.03088,-0.04,17.98,0
1588,162.8,12123,1.63,0.39,0.0322,0.00055,-0.00718,-1.00737,0.01296,0.00011,0.26526,0.88255,0.40726,-0.01631,-0.01913,-0.00926,-0.00163,-0.02509,-0.00096,-0.0264,-0.0146,-0.02806,-0.00271,0.15,-0.02768,0.3213,-0.02688,-0.01379,0.0,0.0,20.0,0
1589,164.8,12529,1.56,0.4,0.03179,0.00041,-0.00594,-1.01745,0.01182,8e-05,0.26506,0.3663,0.20766,-0.04172,-0.01427,-0.01517,-0.00403,-0.01852,-0.00438,-0.02194,-0.00851,-0.01758,-0.00185,0.08235,-0.02266,0.16758,-0.00731,-0.01768,-0.04038,-0.2,10.98,0
1590,166.8,12003,1.66,0.38,0.03195,0.00042,-0.00636,-1.02989,0.01384,0.00017,0.26461,0.40126,0.21712,-0.02804,-0.01193,-0.01286,-0.00427,-0.01391,-0.00231,-0.01165,-0.0071,-0.01493,-0.0021,0.07875,-0.01234,0.1485,-0.02188,-0.00574,-0.18576,-0.2,10.5,0
1591,168.8,12858,1.52,0.39,0.03248,0.00247,-0.00311,-1.04225,0.01272,8e-05,0.26448,0.90874,0.42113,-0.01126,-0.01645,-0.00976,-0.00115,-0.02232,-0.00019,-0.02069,-0.01391,-0.02715,-0.00041,0.15,-0.01299,0.32562,-0.03117,-0.00677,0.0,0.0,20.0,0
